"---","Name","Description","Instructions","TrainingPhrases","DistractorPhrases","StarThresholds","Map","TimeLimit"
1,"Desserts 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""pie"",""cocoa"")",,"(100,200,300)",,180
2,"Desserts 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""jellybean"",""icecream"")",,"(100,200,300)",,180
3,"Desserts 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""dessert"",""yogurt"")",,"(100,200,300)",,180
4,"Desserts 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""pie"",""jellybean"",""dessert"")",,"(100,200,300)",,180
5,"Desserts 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""cocoa"",""icecream"",""yogurt"")",,"(100,200,300)",,180
6,"Beverages 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""coffee"",""tea"")",,"(100,200,300)",,180
7,"Beverages 2","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""cocoa"",""espresso"")",,"(100,200,300)",,180
8,"Beverages 3","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""cola"",""ice"")",,"(100,200,300)",,180
9,"Beverages 4","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""milk"",""nog"")",,"(100,200,300)",,180
10,"Beverages 5","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""coffee"",""cocoa"",""cola"",""milk"")",,"(100,200,300)",,180
11,"Beverages 6","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""tea"",""espresso"",""ice"",""nog"")",,"(100,200,300)",,180
12,"Veggies 1","Pick up mystery food and sort it into the correct bag","Pick up the mystery food items as they drop down from the back of the store. When you do, you'll feel vibrations telling you what the food is. Put the food into the correct grocery bag to gain more points, but if you put the food in the wrong bag and you'll lose points.","(""fennel"",""onion"",""potato"")",,"(100,200,300)",,180
